original_name,image_name,dataset,double_marked,partition,marked_structure,animal_type,animal_id,sample_id,sample_row,sample_col,brain_region,zoom,has_metadata,resolution_px_um
Mar23bS1C6R1_DMr_200x_g.TIF,30.png,green,VERDADERO,test,nucleus,marvin,23b,1,1,6,DMr,200x,VERDADERO,3.187
RT428S4C3R1_ParCort_100x_g.TIF,31.png,green,FALSO,unlabelled,nucleus,rat,428,4,1,3,PARCORT,100x,VERDADERO,3.187
Mar26bS1C2R3_VLPAGl_200x_g.TIF,32.png,green,VERDADERO,trainval,nucleus,marvin,26b,1,3,2,VLPAGl,200x,VERDADERO,3.187
Mar21bS1C1R2_VLPAGl_200x_g.TIF,33.png,green,VERDADERO,trainval,nucleus,marvin,21b,1,2,1,VLPAGl,200x,VERDADERO,3.187
RT466S11C2R2_RVLM_100x_g.TIF,34.png,green,FALSO,unlabelled,nucleus,rat,466,1,R,C,RVLM,100x,VERDADERO,3.187
RT431S6C2R2_MM_100x_g.TIF,35.png,green,FALSO,unlabelled,nucleus,rat,431,6,2,2,MM,100x,VERDADERO,3.187
Mar21bS2C1R3_DMl_200x_g.TIF,36.png,green,VERDADERO,trainval,nucleus,marvin,21b,2,3,1,DMl,200x,VERDADERO,3.187
Mar23bS1C2R3_VLPAGl_200x_g.TIF,37.png,green,VERDADERO,trainval,nucleus,marvin,23b,1,3,2,VLPAGl,200x,VERDADERO,3.187
Mar26bS1C1R4_VLPAGl_200x_g.TIF,38.png,green,VERDADERO,trainval,nucleus,marvin,26b,1,4,1,VLPAGl,200x,VERDADERO,3.187
Mar19bS1C5R2_LHr_200x_g.TIF,39.png,green,VERDADERO,trainval,nucleus,marvin,19b,1,2,5,LHr,200x,VERDADERO,3.187
RT426S2C1R1_Septum_100x_g.TIF,40.png,green,FALSO,unlabelled,nucleus,rat,426,2,1,1,SEPTUM,100x,VERDADERO,3.187
Mar23bS1C6R2_LHl_200x_g.TIF,41.png,green,VERDADERO,trainval,nucleus,marvin,23b,1,2,6,LHl,200x,VERDADERO,3.187
Mar22bS1C3R1_DMl_200x_g.TIF,42.png,green,VERDADERO,trainval,nucleus,marvin,22b,1,1,3,DMl,200x,VERDADERO,3.187
Mar23bS1C5R2_DMl_200x_g.TIF,43.png,green,VERDADERO,trainval,nucleus,marvin,23b,1,2,5,DMl,200x,VERDADERO,3.187
Mar20bS2C2R2_LHl_200x_g.TIF,44.png,green,VERDADERO,trainval,nucleus,marvin,20b,2,2,2,LHl,200x,VERDADERO,3.187
Mar23bS1C2R1_VLPAGl_200x_g.TIF,45.png,green,VERDADERO,trainval,nucleus,marvin,23b,1,1,2,VLPAGl,200x,VERDADERO,3.187
RT466S6C3R1_MM_100x_g.TIF,46.png,green,FALSO,unlabelled,nucleus,rat,466,6,1,3,MM,100x,VERDADERO,3.187
Mar24bS1C1R1_DMr_200x_g.TIF,47.png,green,VERDADERO,trainval,nucleus,marvin,24b,1,1,1,DMr,200x,VERDADERO,3.187
RT426S4C2R2_DM_100x_g.TIF,48.png,green,FALSO,unlabelled,nucleus,rat,426,4,2,2,DM,100x,VERDADERO,3.187
Mar22bS1C3R2_DMl_200x_g.TIF,49.png,green,VERDADERO,trainval,nucleus,marvin,22b,1,2,3,DMl,200x,VERDADERO,3.187
Mar22bS1C4R1_LHl_200x_g.TIF,50.png,green,VERDADERO,test,nucleus,marvin,22b,1,1,4,LHl,200x,VERDADERO,3.187
Mar23bS1C6R2_DMr_200x_g.TIF,51.png,green,VERDADERO,trainval,nucleus,marvin,23b,1,2,6,DMr,200x,VERDADERO,3.187
Mar21bS2C2R2_LHl_200x_g.TIF,52.png,green,VERDADERO,trainval,nucleus,marvin,21b,2,2,2,LHl,200x,VERDADERO,3.187
Mar27bS1C3R1_LHl_200x_g.TIF,53.png,green,VERDADERO,trainval,nucleus,marvin,27b,1,1,3,LHl,200x,VERDADERO,3.187
Mar22bS1C1R3_VLPAGl_200x_g.TIF,54.png,green,VERDADERO,trainval,nucleus,marvin,22b,1,3,1,VLPAGl,200x,VERDADERO,3.187
RT429S2C2R1_Sept_100x_g.TIF,55.png,green,FALSO,unlabelled,nucleus,rat,429,2,1,2,SEPT,100x,VERDADERO,3.187
Mar20bS1C2R1_VLPAGr_200x_g.TIF,56.png,green,VERDADERO,trainval,nucleus,marvin,20b,1,1,2,VLPAGr,200x,VERDADERO,3.187
Mar19bS2C1R1_DMl_200x_g.TIF,57.png,green,VERDADERO,trainval,nucleus,marvin,19b,2,1,1,DMl,200x,VERDADERO,3.187
Mar19bS1C5R1_DMr_200x_g.TIF,58.png,green,VERDADERO,trainval,nucleus,marvin,19b,1,1,5,DMr,200x,VERDADERO,3.187
Mar26bS2C3R1_LHl_200x_g.TIF,59.png,green,VERDADERO,trainval,nucleus,marvin,26b,2,1,3,LHl,200x,VERDADERO,3.187
Mar23bS1C2R2_VLPAGr_200x_g.TIF,60.png,green,VERDADERO,trainval,nucleus,marvin,23b,1,2,2,VLPAGr,200x,VERDADERO,3.187
Mar23bS2C1R1_LHr_200x_g.TIF,61.png,green,VERDADERO,trainval,nucleus,marvin,23b,2,1,1,LHr,200x,VERDADERO,3.187
RT426S6C2R2_RVLM_100x_g.TIF,62.png,green,FALSO,unlabelled,nucleus,rat,426,6,2,2,RVLM,100x,VERDADERO,3.187
Mar21bS1C1R2_VLPAGr_200x_g.TIF,63.png,green,VERDADERO,trainval,nucleus,marvin,21b,1,2,1,VLPAGr,200x,VERDADERO,3.187
Mar21bS2C2R3_LHl_200x_g.TIF,64.png,green,VERDADERO,test,nucleus,marvin,21b,2,3,2,LHl,200x,VERDADERO,3.187
Mar26bS1C4R3_DMl_200x_g.TIF,65.png,green,VERDADERO,test,nucleus,marvin,26b,1,3,4,DMl,200x,VERDADERO,3.187
Mar24bS1C2R2_DMl_200x_g.TIF,66.png,green,VERDADERO,trainval,nucleus,marvin,24b,1,2,2,DMl,200x,VERDADERO,3.187
Mar21bS1C1R3_VLPAGr_200x_g.TIF,67.png,green,VERDADERO,test,nucleus,marvin,21b,1,3,1,VLPAGr,200x,VERDADERO,3.187
Mar24bS1C3R2_LHr_200x_g.TIF,68.png,green,VERDADERO,test,nucleus,marvin,24b,1,2,3,LHr,200x,VERDADERO,3.187
Mar27bS1C2R1_LHr_200x_g.TIF,69.png,green,VERDADERO,trainval,nucleus,marvin,27b,1,1,2,LHr,200x,VERDADERO,3.187
RT428S6C3R1_VLPAG_100x_g.TIF,70.png,green,FALSO,unlabelled,nucleus,rat,428,6,1,3,VLPAG,100x,VERDADERO,3.187
Mar20bS1C3R2_VLPAGl_200x_g.TIF,71.png,green,VERDADERO,test,nucleus,marvin,20b,1,2,3,VLPAGl,200x,VERDADERO,3.187
Mar26bS2C1R2_DMr_200x_g.TIF,72.png,green,VERDADERO,trainval,nucleus,marvin,26b,2,2,1,DMr,200x,VERDADERO,3.187
Mar24bS1C2R3_DMr_200x_g.TIF,73.png,green,VERDADERO,trainval,nucleus,marvin,24b,1,3,2,DMr,200x,VERDADERO,3.187
Mar20bS1C4R1_LHr_200x_g.TIF,74.png,green,VERDADERO,trainval,nucleus,marvin,20b,1,1,4,LHr,200x,VERDADERO,3.187
Mar21bS1C2R1_VLPAGl_200x_g.TIF,75.png,green,VERDADERO,test,nucleus,marvin,21b,1,1,2,VLPAGl,200x,VERDADERO,3.187
Mar20bS2C1R2_LHl_200x_g.TIF,76.png,green,VERDADERO,trainval,nucleus,marvin,20b,2,2,1,LHl,200x,VERDADERO,3.187
Mar26bS2C1R2_LHl_200x_g.TIF,77.png,green,VERDADERO,trainval,nucleus,marvin,26b,2,2,1,LHl,200x,VERDADERO,3.187
Mar26bS2C3R1_LHr_200x_g.TIF,78.png,green,VERDADERO,trainval,nucleus,marvin,26b,2,1,3,LHr,200x,VERDADERO,3.187
Mar24bS2C2R3_VLPAGr_200x_g.TIF,79.png,green,VERDADERO,trainval,nucleus,marvin,24b,2,3,2,VLPAGr,200x,VERDADERO,3.187
Mar20bS1C4R3_DMl_200x_g.TIF,80.png,green,VERDADERO,test,nucleus,marvin,20b,1,3,4,DMl,200x,VERDADERO,3.187
Mar22bS1C1R3_VLPAGr_200x_g.TIF,81.png,green,VERDADERO,trainval,nucleus,marvin,22b,1,3,1,VLPAGr,200x,VERDADERO,3.187
Mar19bS1C3R1_VLPAGl_200x_g.TIF,82.png,green,VERDADERO,trainval,nucleus,marvin,19b,1,1,3,VLPAGl,200x,VERDADERO,3.187
RT433S5C4R2_VLPAG_100x_g.TIF,83.png,green,FALSO,unlabelled,nucleus,rat,433,5,2,4,VLPAG,100x,VERDADERO,3.187
Mar24bS1C2R3_LHr_200x_g.TIF,84.png,green,VERDADERO,trainval,nucleus,marvin,24b,1,3,2,LHr,200x,VERDADERO,3.187
Mar21bS2C3R2_LHr_200x_g.TIF,85.png,green,VERDADERO,trainval,nucleus,marvin,21b,2,2,3,LHr,200x,VERDADERO,3.187
Mar22bS1C4R3_DMl_200x_g.TIF,86.png,green,VERDADERO,trainval,nucleus,marvin,22b,1,3,4,DMl,200x,VERDADERO,3.187
Mar21bS1C4R2_DMl_200x_g.TIF,87.png,green,VERDADERO,trainval,nucleus,marvin,21b,1,2,4,DMl,200x,VERDADERO,3.187
Mar24bS2C4R3_LHl_200x_g.TIF,88.png,green,VERDADERO,trainval,nucleus,marvin,24b,2,3,4,LHl,200x,VERDADERO,3.187
Mar19bS1C4R1_VLPAGl_200x_g.TIF,89.png,green,VERDADERO,trainval,nucleus,marvin,19b,1,1,4,VLPAGl,200x,VERDADERO,3.187
Mar26bS2C2R3_LHr_200x_g.TIF,90.png,green,VERDADERO,trainval,nucleus,marvin,26b,2,3,2,LHr,200x,VERDADERO,3.187
RT433S2C2R1_Septum_100x_g.TIF,91.png,green,FALSO,unlabelled,nucleus,rat,433,2,1,2,SEPTUM,100x,VERDADERO,3.187
Mar26bS1C4R2_LHl_200x_g.TIF,92.png,green,VERDADERO,test,nucleus,marvin,26b,1,2,4,LHl,200x,VERDADERO,3.187
Mar19bS2C1R1_DMr_200x_g.TIF,93.png,green,VERDADERO,trainval,nucleus,marvin,19b,2,1,1,DMr,200x,VERDADERO,3.187
Mar21bS2C2R1_LHl_200x_g.TIF,94.png,green,VERDADERO,trainval,nucleus,marvin,21b,2,1,2,LHl,200x,VERDADERO,3.187
RT428S5C1R1_DM_100x_g.TIF,95.png,green,FALSO,unlabelled,nucleus,rat,428,5,1,1,DM,100x,VERDADERO,3.187
Mar24bS2C2R3_VLPAGl_200x_g.TIF,96.png,green,VERDADERO,test,nucleus,marvin,24b,2,3,2,VLPAGl,200x,VERDADERO,3.187
Mar22bS1C2R4_DMl_200x_g.TIF,97.png,green,VERDADERO,trainval,nucleus,marvin,22b,1,4,2,DMl,200x,VERDADERO,3.187
RT431S5C1R2_DM_100x_g.TIF,98.png,green,FALSO,unlabelled,nucleus,rat,431,5,2,1,DM,100x,VERDADERO,3.187
RT463S3C2R1_ParCortex_100x_g.TIF,99.png,green,FALSO,unlabelled,nucleus,rat,463,3,1,2,PARCORTEX,100x,VERDADERO,3.187
Mar19bS1C3R2_VLPAGl_200x_g.TIF,100.png,green,VERDADERO,test,nucleus,marvin,19b,1,2,3,VLPAGl,200x,VERDADERO,3.187
RT463S6C2R1_RVLM_100x_g.TIF,101.png,green,FALSO,unlabelled,nucleus,rat,463,6,1,2,RVLM,100x,VERDADERO,3.187
Mar26bS2C1R2_LHr_200x_g.TIF,102.png,green,VERDADERO,trainval,nucleus,marvin,26b,2,2,1,LHr,200x,VERDADERO,3.187
RT418S4C3R1_LH_100x_g.TIF,103.png,green,FALSO,unlabelled,nucleus,rat,418,4,1,3,LH,100x,VERDADERO,3.187
Mar19bS1C2R2_VLPAGl_200x_g.TIF,104.png,green,VERDADERO,trainval,nucleus,marvin,19b,1,2,2,VLPAGl,200x,VERDADERO,3.187
RT466S2C3R2_Septim_100x_g.TIF,105.png,green,FALSO,unlabelled,nucleus,rat,466,2,2,3,SEPTIM,100x,VERDADERO,3.187
Mar23bS1C5R3_DMl_200x_g.TIF,106.png,green,VERDADERO,trainval,nucleus,marvin,23b,1,3,5,DMl,200x,VERDADERO,3.187
Mar22bS1C3R3_LHl_200x_g.TIF,107.png,green,VERDADERO,trainval,nucleus,marvin,22b,1,3,3,LHl,200x,VERDADERO,3.187
Mar24bS1C2R1_LHr_200x_g.TIF,108.png,green,VERDADERO,trainval,nucleus,marvin,24b,1,1,2,LHr,200x,VERDADERO,3.187
RT428S7C2R2_RVLM_100x_g.TIF,109.png,green,FALSO,unlabelled,nucleus,rat,428,7,2,2,RVLM,100x,VERDADERO,3.187
RT426S4C1R1_ParCort_100x_g.TIF,110.png,green,FALSO,unlabelled,nucleus,rat,426,4,1,1,PARCORT,100x,VERDADERO,3.187
RT428S5C4R1_MM_100x_g.TIF,111.png,green,FALSO,unlabelled,nucleus,rat,428,5,1,4,MM,100x,VERDADERO,3.187
Mar19bS1C3R3_VLPAGl_200x_g.TIF,112.png,green,VERDADERO,trainval,nucleus,marvin,19b,1,3,3,VLPAGl,200x,VERDADERO,3.187
Mar19bS2C1R1_LHr_200x_g.TIF,113.png,green,VERDADERO,trainval,nucleus,marvin,19b,2,1,1,LHr,200x,VERDADERO,3.187
RT433S4C1R2_LH_100x_g.TIF,114.png,green,FALSO,unlabelled,nucleus,rat,433,4,2,1,LH,100x,VERDADERO,3.187
Mar24bS1C2R2_LHl_200x_g.TIF,115.png,green,VERDADERO,test,nucleus,marvin,24b,1,2,2,LHl,200x,VERDADERO,3.187
Mar23bS2C1R1_LHl_200x_g.TIF,116.png,green,VERDADERO,test,nucleus,marvin,23b,2,1,1,LHl,200x,VERDADERO,3.187
Mar20bS2C3R2_LHl_200x_g.TIF,117.png,green,VERDADERO,trainval,nucleus,marvin,20b,2,2,3,LHl,200x,VERDADERO,3.187
Mar20bS1C2R3_VLPAGl_200x_g.TIF,118.png,green,VERDADERO,trainval,nucleus,marvin,20b,1,3,2,VLPAGl,200x,VERDADERO,3.187
Mar23bS1C5R2_DMr_200x_g.TIF,119.png,green,VERDADERO,trainval,nucleus,marvin,23b,1,2,5,DMr,200x,VERDADERO,3.187
Mar24bS1C1R2_DMl_200x_g.TIF,120.png,green,VERDADERO,trainval,nucleus,marvin,24b,1,2,1,DMl,200x,VERDADERO,3.187
Mar22bS1C3R3_DMl_200x_g.TIF,121.png,green,VERDADERO,trainval,nucleus,marvin,22b,1,3,3,DMl,200x,VERDADERO,3.187
Mar20bS2C2R3_LHl_200x_g.TIF,122.png,green,VERDADERO,test,nucleus,marvin,20b,2,3,2,LHl,200x,VERDADERO,3.187
Mar21bS2C2R3_LHr_200x_g.TIF,123.png,green,VERDADERO,trainval,nucleus,marvin,21b,2,3,2,LHr,200x,VERDADERO,3.187
Mar19bS1C2R3_VLPAGl_200x_g.TIF,124.png,green,VERDADERO,trainval,nucleus,marvin,19b,1,3,2,VLPAGl,200x,VERDADERO,3.187
Mar26bS2C2R1_DMl_200x_g.TIF,125.png,green,VERDADERO,test,nucleus,marvin,26b,2,1,2,DMl,200x,VERDADERO,3.187
Mar20bS1C1R3_VLPAGr_200x_g.TIF,126.png,green,VERDADERO,test,nucleus,marvin,20b,1,3,1,VLPAGr,200x,VERDADERO,3.187
Mar22bS1C3R2_DMr_200x_g.TIF,127.png,green,VERDADERO,test,nucleus,marvin,22b,1,2,3,DMr,200x,VERDADERO,3.187
Mar24bS1C3R2_LHl_200x_g.TIF,128.png,green,VERDADERO,trainval,nucleus,marvin,24b,1,2,3,LHl,200x,VERDADERO,3.187
Mar23bS1C2R2_VLPAGl_200x_g.TIF,129.png,green,VERDADERO,trainval,nucleus,marvin,23b,1,2,2,VLPAGl,200x,VERDADERO,3.187
Mar26bS1C1R4_VLPAGr_200x_g.TIF,130.png,green,VERDADERO,trainval,nucleus,marvin,26b,1,4,1,VLPAGr,200x,VERDADERO,3.187
Mar23bS1C2R1_VLPAGr_200x_g.TIF,131.png,green,VERDADERO,trainval,nucleus,marvin,23b,1,1,2,VLPAGr,200x,VERDADERO,3.187
Mar19bS1C2R3_VLPAGr_200x_g.TIF,132.png,green,VERDADERO,test,nucleus,marvin,19b,1,3,2,VLPAGr,200x,VERDADERO,3.187
RT463S3C3R1_DM_100x_g.TIF,133.png,green,FALSO,unlabelled,nucleus,rat,463,3,1,3,DM,100x,VERDADERO,3.187
RT426S5C3R3_VLPAG_100x_g.TIF,134.png,green,FALSO,unlabelled,nucleus,rat,426,5,3,3,VLPAG,100x,VERDADERO,3.187
Mar26bS2C1R1_LHl_200x_g.TIF,135.png,green,VERDADERO,trainval,nucleus,marvin,26b,2,1,1,LHl,200x,VERDADERO,3.187
Mar23bS1C5R3_LHl_200x_g.TIF,136.png,green,VERDADERO,trainval,nucleus,marvin,23b,1,3,5,LHl,200x,VERDADERO,3.187
Mar21bS2C1R1_LHl_200x_g.TIF,137.png,green,VERDADERO,trainval,nucleus,marvin,21b,2,1,1,LHl,200x,VERDADERO,3.187
RT429S6C3R3_RVLM_100x_g.TIF,138.png,green,FALSO,unlabelled,nucleus,rat,429,6,3,3,RVLM,100x,VERDADERO,3.187
Mar19bS1C4R2_LHl_200x_g.TIF,139.png,green,VERDADERO,trainval,nucleus,marvin,19b,1,2,4,LHl,200x,VERDADERO,3.187
Mar21bS2C2R1_DMl_200x_g.TIF,140.png,green,VERDADERO,trainval,nucleus,marvin,21b,2,1,2,DMl,200x,VERDADERO,3.187
RT418S4C1R1_ParCort_100x_g.TIF,141.png,green,FALSO,unlabelled,nucleus,rat,418,4,1,1,PARCORT,100x,VERDADERO,3.187
Mar22bS1C4R3_LHr_200x_g.TIF,142.png,green,VERDADERO,trainval,nucleus,marvin,22b,1,3,4,LHr,200x,VERDADERO,3.187
Mar20bS2C1R3_LHl_200x_g.TIF,143.png,green,VERDADERO,trainval,nucleus,marvin,20b,2,3,1,LHl,200x,VERDADERO,3.187
Mar19bS1C5R1_LHl_200x_g.TIF,144.png,green,VERDADERO,trainval,nucleus,marvin,19b,1,1,5,LHl,200x,VERDADERO,3.187
Mar20bS2C2R1_LHr_200x_g.TIF,145.png,green,VERDADERO,trainval,nucleus,marvin,20b,2,1,2,LHr,200x,VERDADERO,3.187
Mar20bS2C1R2_DMl_200x_g.TIF,146.png,green,VERDADERO,trainval,nucleus,marvin,20b,2,2,1,DMl,200x,VERDADERO,3.187
Mar24bS2C4R3_LHr_200x_g.TIF,147.png,green,VERDADERO,trainval,nucleus,marvin,24b,2,3,4,LHr,200x,VERDADERO,3.187
Mar20bS2C2R1_LHl_200x_g.TIF,148.png,green,VERDADERO,trainval,nucleus,marvin,20b,2,1,2,LHl,200x,VERDADERO,3.187
RT428S4C3R1_LH_100x_g.TIF,149.png,green,FALSO,unlabelled,nucleus,rat,428,4,1,3,LH,100x,VERDADERO,3.187
Mar19bS1C4R2_DMr_200x_g.TIF,150.png,green,VERDADERO,trainval,nucleus,marvin,19b,1,2,4,DMr,200x,VERDADERO,3.187
Mar20bS2C3R1_LHl_200x_g.TIF,151.png,green,VERDADERO,trainval,nucleus,marvin,20b,2,1,3,LHl,200x,VERDADERO,3.187
Mar19bS1C5R2_DMl_200x_g.TIF,152.png,green,VERDADERO,test,nucleus,marvin,19b,1,2,5,DMl,200x,VERDADERO,3.187
Mar24bS1C2R2_LHr_200x_g.TIF,153.png,green,VERDADERO,trainval,nucleus,marvin,24b,1,2,2,LHr,200x,VERDADERO,3.187
Mar21bS1C2R2_VLPAGr_200x_g.TIF,154.png,green,VERDADERO,trainval,nucleus,marvin,21b,1,2,2,VLPAGr,200x,VERDADERO,3.187
Mar24bS1C3R1_LHr_200x_g.TIF,155.png,green,VERDADERO,test,nucleus,marvin,24b,1,1,3,LHr,200x,VERDADERO,3.187
Mar22bS1C4R3_DMr_200x_g.TIF,156.png,green,VERDADERO,trainval,nucleus,marvin,22b,1,3,4,DMr,200x,VERDADERO,3.187
Mar24bS2C2R2_VLPAGl_200x_g.TIF,157.png,green,VERDADERO,trainval,nucleus,marvin,24b,2,2,2,VLPAGl,200x,VERDADERO,3.187
Mar19bS1C5R2_DMr_200x_g.TIF,158.png,green,VERDADERO,test,nucleus,marvin,19b,1,2,5,DMr,200x,VERDADERO,3.187
Mar27bS1C2R3_LHr_200x_g.TIF,159.png,green,VERDADERO,trainval,nucleus,marvin,27b,1,3,2,LHr,200x,VERDADERO,3.187
Mar20bS2C2R3_LHr_200x_g.TIF,160.png,green,VERDADERO,test,nucleus,marvin,20b,2,3,2,LHr,200x,VERDADERO,3.187
Mar21bS2C1R1_LHr_200x_g.TIF,161.png,green,VERDADERO,test,nucleus,marvin,21b,2,1,1,LHr,200x,VERDADERO,3.187
Mar23bS1C6R2_LHr_200x_g.TIF,162.png,green,VERDADERO,trainval,nucleus,marvin,23b,1,2,6,LHr,200x,VERDADERO,3.187
Mar19bS1C5R3_DMr_200x_g.TIF,163.png,green,VERDADERO,test,nucleus,marvin,19b,1,3,5,DMr,200x,VERDADERO,3.187
Mar21bS2C2R2_DMl_200x_g.TIF,164.png,green,VERDADERO,trainval,nucleus,marvin,21b,2,2,2,DMl,200x,VERDADERO,3.187
Mar26bS1C2R3_VLPAGr_200x_g.TIF,165.png,green,VERDADERO,trainval,nucleus,marvin,26b,1,3,2,VLPAGr,200x,VERDADERO,3.187
RT429S3C3R1_LH_100x_g.TIF,166.png,green,FALSO,unlabelled,nucleus,rat,429,3,1,3,LH,100x,VERDADERO,3.187
Mar24bS2C4R3_DMl_200x_g.TIF,167.png,green,VERDADERO,trainval,nucleus,marvin,24b,2,3,4,DMl,200x,VERDADERO,3.187
Mar19bS1C5R3_DMl_200x_g.TIF,168.png,green,VERDADERO,trainval,nucleus,marvin,19b,1,3,5,DMl,200x,VERDADERO,3.187
RT431S8C1R1_VLPAG_100x_g.TIF,169.png,green,FALSO,unlabelled,nucleus,rat,431,8,1,1,VLPAG,100x,VERDADERO,3.187
Mar26bS2C2R2_DMr_200x_g.TIF,170.png,green,VERDADERO,test,nucleus,marvin,26b,2,2,2,DMr,200x,VERDADERO,3.187
RT418S7C1R1_VLPAG_100x_g.TIF,171.png,green,FALSO,unlabelled,nucleus,rat,418,7,1,1,VLPAG,100x,VERDADERO,3.187
Mar20bS2C2R2_DMr_200x_g.TIF,172.png,green,VERDADERO,trainval,nucleus,marvin,20b,2,2,2,DMr,200x,VERDADERO,3.187
Mar21bS1C2R2_VLPAGl_200x_g.TIF,173.png,green,VERDADERO,test,nucleus,marvin,21b,1,2,2,VLPAGl,200x,VERDADERO,3.187
Mar22bS1C4R3_LHl_200x_g.TIF,174.png,green,VERDADERO,trainval,nucleus,marvin,22b,1,3,4,LHl,200x,VERDADERO,3.187
Mar20bS1C4R1_LHl_200x_g.TIF,175.png,green,VERDADERO,test,nucleus,marvin,20b,1,1,4,LHl,200x,VERDADERO,3.187
